TITLE	BSA_c15_g1over15_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:53:28
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	     0.00202
MAXY	     0.54365
MINY	     0.00175
XYDATA
666.0000	0.00403527
665.5000	0.00404999
665.0000	0.00405242
664.5000	0.00404103
664.0000	0.00406141
663.5000	0.00408965
663.0000	0.00409961
662.5000	0.00412189
662.0000	0.00415439
661.5000	0.00420012
661.0000	0.00422372
660.5000	0.00421773
660.0000	0.00422273
659.5000	0.00421174
659.0000	0.0042084
658.5000	0.004214
658.0000	0.00423183
657.5000	0.00426884
657.0000	0.00430073
656.5000	0.00433782
656.0000	0.00434383
655.5000	0.00435714
655.0000	0.00437773
654.5000	0.00440955
654.0000	0.00443284
653.5000	0.0044464
653.0000	0.00444968
652.5000	0.0044691
652.0000	0.00448107
651.5000	0.00450644
651.0000	0.0045103
650.5000	0.00454406
650.0000	0.0045677
649.5000	0.00461641
649.0000	0.00463149
648.5000	0.00465266
648.0000	0.00466321
647.5000	0.00465714
647.0000	0.00467533
646.5000	0.00468242
646.0000	0.00471873
645.5000	0.00473008
645.0000	0.00477359
644.5000	0.00479767
644.0000	0.00483218
643.5000	0.0048667
643.0000	0.0048586
642.5000	0.00485877
642.0000	0.00482413
641.5000	0.00481949
641.0000	0.00481278
640.5000	0.00483385
640.0000	0.00486913
639.5000	0.00488333
639.0000	0.0048944
638.5000	0.00490464
638.0000	0.00492456
637.5000	0.00494228
637.0000	0.00497529
636.5000	0.00499562
636.0000	0.00503426
635.5000	0.00509668
635.0000	0.00513689
634.5000	0.00516201
634.0000	0.00516607
633.5000	0.0051608
633.0000	0.00517063
632.5000	0.00517467
632.0000	0.00518484
631.5000	0.00520546
631.0000	0.00523036
630.5000	0.00524197
630.0000	0.00525248
629.5000	0.00524594
629.0000	0.00525061
628.5000	0.00523456
628.0000	0.00520976
627.5000	0.00519175
627.0000	0.00519663
626.5000	0.00524677
626.0000	0.00530783
625.5000	0.00535723
625.0000	0.00538077
624.5000	0.00536763
624.0000	0.00539636
623.5000	0.005414
623.0000	0.00542516
622.5000	0.00544479
622.0000	0.00546327
621.5000	0.00545729
621.0000	0.00543474
620.5000	0.00541216
620.0000	0.0054013
619.5000	0.00538969
619.0000	0.00538316
618.5000	0.00540067
618.0000	0.00543269
617.5000	0.00542526
617.0000	0.0054202
616.5000	0.00542744
616.0000	0.00543356
615.5000	0.00543434
615.0000	0.00542353
614.5000	0.00543208
614.0000	0.00545592
613.5000	0.00548588
613.0000	0.00548274
612.5000	0.0054719
612.0000	0.00547399
611.5000	0.0055122
611.0000	0.00554516
610.5000	0.00555726
610.0000	0.00558186
609.5000	0.00558823
609.0000	0.00559556
608.5000	0.00562238
608.0000	0.00565678
607.5000	0.00570113
607.0000	0.00571594
606.5000	0.00574762
606.0000	0.00574721
605.5000	0.00575893
605.0000	0.00576282
604.5000	0.00579568
604.0000	0.00581356
603.5000	0.00583161
603.0000	0.00583819
602.5000	0.00584692
602.0000	0.00585178
601.5000	0.00586751
601.0000	0.00590187
600.5000	0.0059002
600.0000	0.00592103
599.5000	0.00591319
599.0000	0.00594113
598.5000	0.00592748
598.0000	0.00594616
597.5000	0.00590191
597.0000	0.00588495
596.5000	0.00582259
596.0000	0.00582705
595.5000	0.00584097
595.0000	0.00589201
594.5000	0.00590799
594.0000	0.00593155
593.5000	0.00593342
593.0000	0.00591636
592.5000	0.00592489
592.0000	0.00590185
591.5000	0.00592398
591.0000	0.00591413
590.5000	0.00591605
590.0000	0.00587665
589.5000	0.00588897
589.0000	0.00590454
588.5000	0.00595639
588.0000	0.005973
587.5000	0.00595975
587.0000	0.00592424
