TITLE	BSA_c1_g1_83mMYCl3_rep2
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:28:43
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00163
MAXY	     0.62789
MINY	    -0.00163
XYDATA
672.0000	0.00122872
671.5000	0.00122453
671.0000	0.00121869
670.5000	0.00123206
670.0000	0.0012606
669.5000	0.00129203
669.0000	0.0013253
668.5000	0.00132758
668.0000	0.00133899
667.5000	0.00132888
667.0000	0.00132982
666.5000	0.00132197
666.0000	0.00132339
665.5000	0.00134706
665.0000	0.00139238
664.5000	0.00141288
664.0000	0.00142209
663.5000	0.00144158
663.0000	0.00147495
662.5000	0.00147215
662.0000	0.0014407
661.5000	0.00142866
661.0000	0.00139682
660.5000	0.00139947
660.0000	0.00137441
659.5000	0.00138674
659.0000	0.00144138
658.5000	0.00150341
658.0000	0.00156136
657.5000	0.00160185
657.0000	0.00164189
656.5000	0.00167101
656.0000	0.00169085
655.5000	0.00168083
655.0000	0.00167579
654.5000	0.00165809
654.0000	0.00168376
653.5000	0.00173611
653.0000	0.00182699
652.5000	0.00186451
652.0000	0.00188799
651.5000	0.00183649
651.0000	0.00180431
650.5000	0.00176579
650.0000	0.00175433
649.5000	0.00177101
649.0000	0.00181574
648.5000	0.0018492
648.0000	0.00186348
647.5000	0.00187172
647.0000	0.00188501
646.5000	0.00191359
646.0000	0.00193454
645.5000	0.00195977
645.0000	0.00196021
644.5000	0.00195589
644.0000	0.00195243
643.5000	0.00195376
643.0000	0.00201067
642.5000	0.00203181
642.0000	0.00206228
641.5000	0.00205943
641.0000	0.00206635
640.5000	0.00207499
640.0000	0.00210184
639.5000	0.0021049
639.0000	0.00212375
638.5000	0.00212138
638.0000	0.00213272
637.5000	0.00213636
637.0000	0.0021494
636.5000	0.00217186
636.0000	0.00218416
635.5000	0.00220566
635.0000	0.00223636
634.5000	0.00226098
634.0000	0.00225765
633.5000	0.00226002
633.0000	0.00225055
632.5000	0.00223455
632.0000	0.0022291
631.5000	0.00225504
631.0000	0.00231224
630.5000	0.0023183
630.0000	0.00233278
629.5000	0.00229871
629.0000	0.0023248
628.5000	0.00235516
628.0000	0.00240988
627.5000	0.00243727
627.0000	0.00244447
626.5000	0.00242086
626.0000	0.00241107
625.5000	0.00242051
625.0000	0.00245944
624.5000	0.00249917
624.0000	0.00249681
623.5000	0.00247777
623.0000	0.00247335
622.5000	0.00247702
622.0000	0.00252092
621.5000	0.00251355
621.0000	0.00253114
620.5000	0.00251713
620.0000	0.00252998
619.5000	0.00252175
619.0000	0.00253844
618.5000	0.00254603
618.0000	0.00256902
617.5000	0.00260281
617.0000	0.00261591
616.5000	0.00263442
616.0000	0.00263199
615.5000	0.00263802
615.0000	0.00264988
614.5000	0.00265576
614.0000	0.00268709
613.5000	0.00271175
613.0000	0.00273193
612.5000	0.00273813
612.0000	0.00273488
611.5000	0.0027309
611.0000	0.00272486
610.5000	0.00272436
610.0000	0.00271721
609.5000	0.00273136
609.0000	0.00274796
608.5000	0.0027746
608.0000	0.00280321
607.5000	0.00282933
607.0000	0.00283309
606.5000	0.00285388
606.0000	0.00282152
605.5000	0.0028507
605.0000	0.00288654
604.5000	0.0029383
604.0000	0.00295043
603.5000	0.00293758
603.0000	0.00295305
602.5000	0.00295488
602.0000	0.00297622
601.5000	0.00298468
601.0000	0.00299192
600.5000	0.00298654
600.0000	0.00298172
599.5000	0.00298432
599.0000	0.00300424
598.5000	0.00301458
598.0000	0.00301874
597.5000	0.00300127
597.0000	0.00300186
596.5000	0.00301108
596.0000	0.00303122
595.5000	0.00307918
595.0000	0.00310798
594.5000	0.00312057
594.0000	0.00310712
593.5000	0.00310383
593.0000	0.00311262
592.5000	0.00313788
592.0000	0.00313131
591.5000	0.00313289
591.0000	0.0031348
590.5000	0.00314304
590.0000	0.00315477
589.5000	0.00316385
589.0000	0.00319523
588.5000	0.00320751
588.0000	0.00325722
587.5000	0.00327404
587.0000	0.00329889
586.5000	0.00328761
586.0000	0.00330807
585.5000	0.0033253
585.0000	0.00333867
584.5000	0.00334285
584.0000	0.00332708
583.5000	0.00334716
583.0000	0.00337405
582.5000	0.00338869
582.0000	0.00341082
581.5000	0.00342142
581.0000	0.00342793
580.5000	0.00338348
580.0000	0.00335408
579.5000	0.00336388
579.0000	0.00339686
578.5000	0.0034582
578.0000	0.00349208
577.5000	0.00350999
577.0000	0.00352573
576.5000	0.00351754
576.0000	0.00355352
575.5000	0.00357657
575.0000	0.00357848
574.5000	0.00356452
574.0000	0.00357264
573.5000	0.00358845
573.0000	0.00360665
572.5000	0.00362518
572.0000	0.00363696
571.5000	0.00364594
571.0000	0.00367464
570.5000	0.00369557
570.0000	0.00373571
569.5000	0.00373619
569.0000	0.00372192
568.5000	0.00373752
568.0000	0.00375858
567.5000	0.00377011
