TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
672.0000	0.0019301
671.5000	0.00194791
671.0000	0.00193433
670.5000	0.00196218
670.0000	0.00194819
669.5000	0.00195243
669.0000	0.00196494
668.5000	0.00197644
668.0000	0.00199739
667.5000	0.0020002
667.0000	0.00200949
666.5000	0.0020238
666.0000	0.00205093
665.5000	0.00206461
665.0000	0.00206568
664.5000	0.00209315
664.0000	0.00212145
663.5000	0.00216168
663.0000	0.00217384
662.5000	0.00219202
662.0000	0.00221671
661.5000	0.00221825
661.0000	0.00221262
660.5000	0.00221218
660.0000	0.00223479
659.5000	0.00224586
659.0000	0.00225592
658.5000	0.00225507
658.0000	0.00227447
657.5000	0.00229488
657.0000	0.00232459
656.5000	0.00235265
656.0000	0.00234422
655.5000	0.00236089
655.0000	0.00236439
654.5000	0.00238153
654.0000	0.00237998
653.5000	0.00238569
653.0000	0.0024093
652.5000	0.0024275
652.0000	0.00244218
651.5000	0.00246651
651.0000	0.00246454
650.5000	0.00247806
650.0000	0.00247648
649.5000	0.00249456
649.0000	0.00250295
648.5000	0.0025301
648.0000	0.00255093
647.5000	0.0025856
647.0000	0.00260165
646.5000	0.00261055
646.0000	0.00261841
645.5000	0.00262867
645.0000	0.00263337
644.5000	0.00264046
644.0000	0.0026431
643.5000	0.00265642
643.0000	0.00267022
642.5000	0.00269394
642.0000	0.00272707
641.5000	0.00276501
641.0000	0.00277325
640.5000	0.0027789
640.0000	0.00277522
639.5000	0.00277836
639.0000	0.0027718
638.5000	0.00276804
638.0000	0.00278473
637.5000	0.00279958
637.0000	0.00283918
636.5000	0.00285304
636.0000	0.00288441
635.5000	0.00288807
635.0000	0.00288999
634.5000	0.00291885
634.0000	0.00292836
633.5000	0.00294019
633.0000	0.00293055
632.5000	0.00295233
632.0000	0.00297389
631.5000	0.00300623
631.0000	0.00300802
630.5000	0.00302247
630.0000	0.00302313
629.5000	0.00303377
629.0000	0.00305832
628.5000	0.00309055
628.0000	0.00312857
627.5000	0.0031315
627.0000	0.00314285
626.5000	0.00315786
626.0000	0.00316816
625.5000	0.00317731
625.0000	0.00319028
624.5000	0.00323108
624.0000	0.00325766
623.5000	0.00325683
623.0000	0.00324992
622.5000	0.00326097
622.0000	0.0032625
621.5000	0.00327349
621.0000	0.00325661
620.5000	0.00327113
620.0000	0.00328069
619.5000	0.00328675
619.0000	0.00327304
618.5000	0.00329468
618.0000	0.00332345
617.5000	0.00336029
617.0000	0.0034046
616.5000	0.0034157
616.0000	0.00342143
615.5000	0.00341145
615.0000	0.00341935
614.5000	0.00345392
614.0000	0.00347104
613.5000	0.00350783
613.0000	0.00353054
612.5000	0.0035589
612.0000	0.00355097
611.5000	0.00356281
611.0000	0.00357412
610.5000	0.00356945
610.0000	0.00356018
609.5000	0.00356058
609.0000	0.00358014
608.5000	0.00361226
608.0000	0.00362394
607.5000	0.00365495
607.0000	0.00368136
606.5000	0.00371141
606.0000	0.00369863
605.5000	0.00368959
605.0000	0.00370533
604.5000	0.0037322
604.0000	0.0037648
603.5000	0.00377803
603.0000	0.00379018
602.5000	0.00378003
602.0000	0.00379928
601.5000	0.00382571
601.0000	0.00383829
600.5000	0.00383091
600.0000	0.00381939
599.5000	0.00383429
599.0000	0.00382744
598.5000	0.00384013
598.0000	0.00384579
597.5000	0.00387925
597.0000	0.00391961
596.5000	0.00394207
596.0000	0.00396892
595.5000	0.00398079
595.0000	0.00398616
594.5000	0.00398478
594.0000	0.00398335
593.5000	0.00400384
593.0000	0.0040111
592.5000	0.0040102
592.0000	0.00404145
591.5000	0.00405469
591.0000	0.0040802
590.5000	0.00408759
590.0000	0.00409068
589.5000	0.00408326
589.0000	0.00409406
588.5000	0.00411766
588.0000	0.00416078
587.5000	0.00416805
587.0000	0.00416808
586.5000	0.00418185
586.0000	0.00419629
585.5000	0.00421709
585.0000	0.00421552
584.5000	0.00423536
584.0000	0.00424817
583.5000	0.00425951
583.0000	0.00426865
582.5000	0.00426159
582.0000	0.0042697
581.5000	0.0042872
581.0000	0.00430972
580.5000	0.0043589
580.0000	0.00438001
579.5000	0.00440472
579.0000	0.00439381
578.5000	0.00440103
578.0000	0.00439719
577.5000	0.00442132
577.0000	0.0044499
576.5000	0.00448777
576.0000	0.00449338
575.5000	0.00448948
575.0000	0.00450835
574.5000	0.00451908
574.0000	0.00452538
573.5000	0.00452755
573.0000	0.00452107
572.5000	0.0045412
572.0000	0.00459098
571.5000	0.00459053
571.0000	0.00457834
570.5000	0.00455868
570.0000	0.00456341
569.5000	0.00458576
569.0000	0.00462209
568.5000	0.00465393
568.0000	0.00469339
567.5000	0.00469563
567.0000	0.00468885
566.5000	0.00469273
566.0000	0.00469767
565.5000	0.0047097
565.0000	0.00471193
564.5000	0.00476166
564.0000	0.00477565
563.5000	0.0047572
563.0000	0.00474067
562.5000	0.00475516
562.0000	0.00477645
561.5000	0.00480539
561.0000	0.00479895
560.5000	0.00480681
560.0000	0.00481773
559.5000	0.00484789
559.0000	0.00484412
558.5000	0.0048574
558.0000	0.00484298
557.5000	0.00487641
557.0000	0.00490138
556.5000	0.00492236
556.0000	0.00493823
555.5000	0.00494546
555.0000	0.00494537
554.5000	0.0049348
554.0000	0.0049477
553.5000	0.00496584
553.0000	0.00497803
552.5000	0.00498994
552.0000	0.00500521
551.5000	0.00502995
551.0000	0.00507208
550.5000	0.00506774
550.0000	0.00506413
549.5000	0.00504556
549.0000	0.00503556
548.5000	0.00505941
548.0000	0.00506816
547.5000	0.00511446
547.0000	0.00511337
546.5000	0.00513456
546.0000	0.00514575
545.5000	0.00519749
545.0000	0.00525021
544.5000	0.00526376
544.0000	0.00525022
543.5000	0.00521282
543.0000	0.00523537
542.5000	0.00527236
542.0000	0.00528557
541.5000	0.00529977
541.0000	0.00531371
540.5000	0.00532441
540.0000	0.00534886
539.5000	0.00534226
539.0000	0.00536415
538.5000	0.00535742
538.0000	0.00540034
537.5000	0.00542085
537.0000	0.00546704
536.5000	0.00550225
536.0000	0.00551196
535.5000	0.00549704
535.0000	0.00547733
534.5000	0.00548809
534.0000	0.00550303
533.5000	0.00552184
533.0000	0.0055305
532.5000	0.00553799
532.0000	0.00552942
531.5000	0.00553899
531.0000	0.00557731
530.5000	0.00558517
530.0000	0.00558498
529.5000	0.00557921
529.0000	0.00556953
528.5000	0.00559286
528.0000	0.00561277
527.5000	0.00562262
527.0000	0.00565353
526.5000	0.00566352
526.0000	0.00566808
525.5000	0.00567579
525.0000	0.00564577
524.5000	0.00566225
524.0000	0.00567508
523.5000	0.00572572
523.0000	0.00573095
522.5000	0.00573531
522.0000	0.00575888
521.5000	0.00578145
521.0000	0.00581196
520.5000	0.00580988
520.0000	0.00582951
519.5000	0.00586103
519.0000	0.00587583
518.5000	0.00585405
518.0000	0.00583109
517.5000	0.0058198
517.0000	0.00583455
516.5000	0.00588078
516.0000	0.00590274
515.5000	0.00595652
515.0000	0.00592488
514.5000	0.0059235
514.0000	0.0059116
513.5000	0.0059148
513.0000	0.00593531
512.5000	0.00593313
512.0000	0.0059314
511.5000	0.00594019
511.0000	0.00596886
510.5000	0.00600318
510.0000	0.00600964
509.5000	0.0060061
509.0000	0.00602725
508.5000	0.00606359
508.0000	0.00611792
507.5000	0.00616452
507.0000	0.00617124
506.5000	0.0061717
506.0000	0.0061457
505.5000	0.00613572
505.0000	0.0061317
504.5000	0.00614727
504.0000	0.00615347
503.5000	0.00615311
503.0000	0.00616939
502.5000	0.00617445
502.0000	0.00620605
501.5000	0.00619969
501.0000	0.00623508
500.5000	0.0062636
500.0000	0.00621893
499.5000	0.00621025
499.0000	0.00621542
498.5000	0.00618827
498.0000	0.00622413
497.5000	0.00624333
497.0000	0.00628936
496.5000	0.00628049
496.0000	0.00626983
495.5000	0.00625607
495.0000	0.00631043
494.5000	0.00634048
494.0000	0.00636212
493.5000	0.00636669
493.0000	0.00639946
492.5000	0.00642873
492.0000	0.00643666
491.5000	0.00642361
491.0000	0.00642213
490.5000	0.00645838
490.0000	0.00650129
489.5000	0.0065129
489.0000	0.00651589
488.5000	0.00652856
488.0000	0.00651079
487.5000	0.00650591
487.0000	0.00650789
486.5000	0.00654612
486.0000	0.0065797
485.5000	0.00663963
485.0000	0.00664317
484.5000	0.00664422
484.0000	0.00663084
483.5000	0.00662999
483.0000	0.0066066
482.5000	0.00663031
482.0000	0.006646
481.5000	0.00671419
481.0000	0.0067283
480.5000	0.00674955
480.0000	0.00678356
479.5000	0.00682309
479.0000	0.00682319
478.5000	0.00684713
478.0000	0.00687297
477.5000	0.00689013
477.0000	0.00688629
476.5000	0.00689572
476.0000	0.00693842
475.5000	0.0069739
475.0000	0.00696459
474.5000	0.00696736
474.0000	0.00695839
473.5000	0.006966
473.0000	0.00699064
472.5000	0.00703211
472.0000	0.00708509
471.5000	0.00710144
471.0000	0.00707832
470.5000	0.00708208
470.0000	0.00712218
469.5000	0.0071707
469.0000	0.00715777
468.5000	0.00713316
468.0000	0.00715273
467.5000	0.00717147
467.0000	0.00719369
466.5000	0.00716039
466.0000	0.00717581
465.5000	0.00721803
465.0000	0.0072785
464.5000	0.00730815
464.0000	0.00731829
463.5000	0.00732257
463.0000	0.00734759
462.5000	0.00741684
462.0000	0.00745532
461.5000	0.00749679
461.0000	0.00746862
460.5000	0.00748064
460.0000	0.00750449
459.5000	0.00752418
459.0000	0.00755652
458.5000	0.00759609
458.0000	0.00763433
457.5000	0.00761084
457.0000	0.00758641
456.5000	0.00757244
456.0000	0.00758485
455.5000	0.00758241
455.0000	0.00757023
454.5000	0.00755439
454.0000	0.00755862
453.5000	0.00754688
453.0000	0.00749977
452.5000	0.0074848
452.0000	0.00750782
451.5000	0.00752668
451.0000	0.0075238
450.5000	0.00750874
450.0000	0.00750362
449.5000	0.00752595
449.0000	0.0075501
448.5000	0.00758532
448.0000	0.0076488
447.5000	0.00764091
447.0000	0.00764397
446.5000	0.00764907
446.0000	0.0076744
445.5000	0.00771156
445.0000	0.00775876
444.5000	0.00782239
444.0000	0.00786405
443.5000	0.00786541
443.0000	0.00791088
442.5000	0.00793668
442.0000	0.00800665
