TITLE	BSA_c30_g1over30_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	11:26:55
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00158
MAXY	     0.56613
MINY	    -0.00158
XYDATA
690.5000	0.000515058
690.0000	0.000491778
689.5000	0.000511494
689.0000	0.000523335
688.5000	0.00053837
688.0000	0.000524266
687.5000	0.0005047
687.0000	0.0005231
686.5000	0.00054683
686.0000	0.000585007
685.5000	0.000568539
685.0000	0.000572578
684.5000	0.000588064
684.0000	0.000633224
683.5000	0.000664169
683.0000	0.000679895
682.5000	0.000658266
682.0000	0.000588175
681.5000	0.000552599
681.0000	0.000571463
680.5000	0.000632374
680.0000	0.000656011
679.5000	0.000662345
679.0000	0.000641831
678.5000	0.000662568
678.0000	0.000678047
677.5000	0.000711143
677.0000	0.000732899
676.5000	0.000744516
676.0000	0.000753821
675.5000	0.000782006
675.0000	0.000797941
674.5000	0.000810467
674.0000	0.000784827
673.5000	0.000774419
673.0000	0.000756813
672.5000	0.000767381
672.0000	0.000784855
671.5000	0.000797103
671.0000	0.000801453
670.5000	0.000796773
670.0000	0.000830265
669.5000	0.000858635
669.0000	0.000909758
668.5000	0.000929576
668.0000	0.000952212
667.5000	0.000971351
667.0000	0.000972624
666.5000	0.000955784
666.0000	0.000942709
665.5000	0.000955467
665.0000	0.000980213
664.5000	0.000973625
664.0000	0.000996
663.5000	0.000986763
663.0000	0.00100174
662.5000	0.000999498
662.0000	0.00101804
661.5000	0.00103024
661.0000	0.00104339
660.5000	0.00105439
660.0000	0.00106385
659.5000	0.00105836
659.0000	0.00104521
658.5000	0.00104192
658.0000	0.00105425
657.5000	0.00108622
657.0000	0.00115552
656.5000	0.00118246
656.0000	0.00120719
655.5000	0.00121366
655.0000	0.00125641
654.5000	0.00130242
654.0000	0.00133013
653.5000	0.00133187
653.0000	0.00132949
652.5000	0.00134913
652.0000	0.00133709
651.5000	0.00133744
651.0000	0.00132852
650.5000	0.00134021
650.0000	0.00136156
649.5000	0.00137168
649.0000	0.00135809
648.5000	0.00135746
648.0000	0.00135839
647.5000	0.00139107
647.0000	0.00142174
646.5000	0.0014246
646.0000	0.00143253
645.5000	0.00142789
645.0000	0.00146949
644.5000	0.00148195
644.0000	0.00150936
643.5000	0.00150029
643.0000	0.00150019
642.5000	0.00150574
642.0000	0.00151292
641.5000	0.00153073
641.0000	0.00152099
640.5000	0.00152521
640.0000	0.00151674
639.5000	0.00155349
639.0000	0.00159335
638.5000	0.00160241
638.0000	0.00160527
637.5000	0.00159093
637.0000	0.00160428
636.5000	0.0016111
636.0000	0.00162588
635.5000	0.00165435
635.0000	0.00168694
634.5000	0.00171042
634.0000	0.00173061
633.5000	0.00172104
633.0000	0.00172945
632.5000	0.00172017
632.0000	0.00176385
631.5000	0.00178168
631.0000	0.00177747
630.5000	0.00174907
630.0000	0.00173946
629.5000	0.00174181
629.0000	0.00173414
628.5000	0.00175105
628.0000	0.00176504
627.5000	0.00181584
627.0000	0.00181935
626.5000	0.00183048
626.0000	0.00183269
625.5000	0.00183691
625.0000	0.00189171
624.5000	0.00195628
624.0000	0.0019821
623.5000	0.00198523
623.0000	0.00194408
622.5000	0.00194377
622.0000	0.00195061
621.5000	0.00198832
621.0000	0.00200544
620.5000	0.00201345
620.0000	0.00198909
619.5000	0.00197495
619.0000	0.00197893
618.5000	0.00199289
618.0000	0.00201986
617.5000	0.00204268
617.0000	0.00206377
616.5000	0.00207847
616.0000	0.00210249
615.5000	0.00214045
615.0000	0.00215967
614.5000	0.0021834
614.0000	0.00221226
613.5000	0.00223052
613.0000	0.00222432
612.5000	0.00219347
612.0000	0.00217283
611.5000	0.00219734
611.0000	0.00220232
610.5000	0.00221268
610.0000	0.00220812
609.5000	0.00222198
609.0000	0.00222986
608.5000	0.00226363
608.0000	0.0022726
607.5000	0.00230303
607.0000	0.0023047
606.5000	0.0023022
606.0000	0.0023109
605.5000	0.00233296
605.0000	0.0023565
604.5000	0.00235869
604.0000	0.00235942
603.5000	0.00236013
603.0000	0.00236674
602.5000	0.00235398
602.0000	0.00235597
601.5000	0.00236066
601.0000	0.00239522
600.5000	0.00242663
600.0000	0.00244995
599.5000	0.00247798
599.0000	0.00248936
598.5000	0.00251512
598.0000	0.00250698
597.5000	0.0025409
597.0000	0.00252582
596.5000	0.00255529
596.0000	0.00255342
595.5000	0.00256728
595.0000	0.00257233
594.5000	0.00258697
594.0000	0.00261497
593.5000	0.00260785
593.0000	0.00262008
592.5000	0.00259943
592.0000	0.00259244
591.5000	0.00257238
591.0000	0.00261391
590.5000	0.00267427
590.0000	0.00272356
589.5000	0.00272926
589.0000	0.00269754
588.5000	0.00268553
588.0000	0.00267462
587.5000	0.0026818
587.0000	0.00269813
586.5000	0.00271219
586.0000	0.00275208
585.5000	0.00275889
585.0000	0.00279784
584.5000	0.00280896
584.0000	0.00281418
583.5000	0.00279385
583.0000	0.00279926
582.5000	0.00281994
582.0000	0.00283419
581.5000	0.00281941
581.0000	0.00277968
580.5000	0.00278767
580.0000	0.00280586
579.5000	0.00282727
579.0000	0.00282424
578.5000	0.00284516
578.0000	0.00289715
577.5000	0.00297216
577.0000	0.00301216
576.5000	0.00303687
576.0000	0.00300102
575.5000	0.00295495
575.0000	0.00294822
574.5000	0.00297764
574.0000	0.00303907
573.5000	0.00309281
573.0000	0.00309161
572.5000	0.00307544
572.0000	0.0030618
571.5000	0.00305995
571.0000	0.0031003
570.5000	0.00311312
570.0000	0.00311563
569.5000	0.00311911
569.0000	0.00312817
568.5000	0.00314815
568.0000	0.00314198
567.5000	0.00314228
567.0000	0.00315295
566.5000	0.00317533
566.0000	0.00319291
565.5000	0.00322714
565.0000	0.00325762
564.5000	0.00327892
564.0000	0.00328666
563.5000	0.00330198
563.0000	0.00330926
562.5000	0.00331431
562.0000	0.00330574
561.5000	0.00330938
561.0000	0.0032916
560.5000	0.00332065
560.0000	0.0033377
559.5000	0.00334614
559.0000	0.00331865
558.5000	0.00329921
558.0000	0.00328753
557.5000	0.00329715
557.0000	0.00330524
556.5000	0.00329585
556.0000	0.00331872
555.5000	0.00333888
555.0000	0.00338428
554.5000	0.00341837
554.0000	0.0034377
553.5000	0.00345138
553.0000	0.00347272
552.5000	0.00347383
552.0000	0.00347459
551.5000	0.00348776
551.0000	0.00349916
550.5000	0.00347832
550.0000	0.00345839
549.5000	0.00345813
549.0000	0.00347038
548.5000	0.00347707
548.0000	0.00350122
547.5000	0.00351519
547.0000	0.00357259
546.5000	0.00358689
546.0000	0.00360452
545.5000	0.00359989
545.0000	0.00359988
544.5000	0.00359961
544.0000	0.00359283
543.5000	0.00363222
543.0000	0.00364491
542.5000	0.00364634
542.0000	0.00361857
541.5000	0.00363369
541.0000	0.00361237
540.5000	0.00364183
540.0000	0.00364786
539.5000	0.00370772
539.0000	0.00375667
538.5000	0.0037915
538.0000	0.00382134
537.5000	0.00382006
537.0000	0.003814
536.5000	0.0038279
536.0000	0.00384815
535.5000	0.00385662
535.0000	0.00385524
534.5000	0.00385798
534.0000	0.00385996
533.5000	0.00385327
533.0000	0.00386187
532.5000	0.00384945
532.0000	0.00386173
531.5000	0.00388129
531.0000	0.00389238
530.5000	0.00390422
530.0000	0.00392952
529.5000	0.00397752
529.0000	0.00402743
528.5000	0.00403101
528.0000	0.00399861
527.5000	0.00400028
527.0000	0.00400804
526.5000	0.00403747
526.0000	0.00403038
525.5000	0.00404578
525.0000	0.00403443
524.5000	0.00404134
524.0000	0.00405764
523.5000	0.00407844
523.0000	0.00414117
522.5000	0.00419746
522.0000	0.00419011
521.5000	0.00417951
521.0000	0.00415635
520.5000	0.00421103
520.0000	0.00423694
519.5000	0.00423998
519.0000	0.0042199
518.5000	0.00420755
518.0000	0.00420091
517.5000	0.00416361
517.0000	0.00414836
516.5000	0.00415143
516.0000	0.00416553
515.5000	0.00420824
515.0000	0.00423223
514.5000	0.00423079
514.0000	0.00422629
513.5000	0.0042231
513.0000	0.00424428
512.5000	0.00426503
512.0000	0.00428937
511.5000	0.0042971
511.0000	0.00428474
510.5000	0.00429702
510.0000	0.0043021
509.5000	0.00430627
509.0000	0.00431882
508.5000	0.00437117
508.0000	0.004394
507.5000	0.00441212
507.0000	0.00438045
506.5000	0.00438181
506.0000	0.00440364
505.5000	0.00444833
505.0000	0.00446727
504.5000	0.00445123
504.0000	0.00445648
503.5000	0.00445335
503.0000	0.00448819
502.5000	0.00449455
502.0000	0.00451654
501.5000	0.00452596
501.0000	0.0045306
500.5000	0.00454132
500.0000	0.00453502
499.5000	0.00452332
499.0000	0.00452822
498.5000	0.0045644
498.0000	0.00458046
497.5000	0.00460401
497.0000	0.00459808
496.5000	0.00460915
496.0000	0.00459761
495.5000	0.00463233
495.0000	0.00464778
494.5000	0.0046773
494.0000	0.0047019
493.5000	0.00471713
493.0000	0.00471674
492.5000	0.00474157
492.0000	0.00475754
491.5000	0.00475947
491.0000	0.00478779
490.5000	0.00478246
490.0000	0.00482109
489.5000	0.00484249
489.0000	0.00485792
488.5000	0.00484684
488.0000	0.00481863
487.5000	0.00480513
487.0000	0.00481895
486.5000	0.00484779
486.0000	0.00486802
485.5000	0.0049139
485.0000	0.00492035
484.5000	0.00493788
484.0000	0.00491237
483.5000	0.00492238
483.0000	0.00492934
482.5000	0.00496515
482.0000	0.00497625
481.5000	0.00498199
481.0000	0.00500221
480.5000	0.00502359
480.0000	0.00502711
479.5000	0.00505772
479.0000	0.00509045
478.5000	0.00514043
478.0000	0.00511729
477.5000	0.00512433
477.0000	0.00510131
476.5000	0.00510737
476.0000	0.00513662
475.5000	0.00514872
475.0000	0.00516702
474.5000	0.00517256
474.0000	0.00518632
473.5000	0.00520138
473.0000	0.00523738
472.5000	0.00528437
472.0000	0.00533688
471.5000	0.00534087
471.0000	0.00530213
470.5000	0.00530893
470.0000	0.0053404
469.5000	0.00538496
469.0000	0.00540597
468.5000	0.00542891
468.0000	0.0054317
467.5000	0.0054451
467.0000	0.00546612
466.5000	0.0054765
466.0000	0.0054978
465.5000	0.00549391
465.0000	0.0055033
464.5000	0.00555437
464.0000	0.00553666
463.5000	0.0055381
463.0000	0.0055056
462.5000	0.00555026
462.0000	0.00560396
461.5000	0.00567958
461.0000	0.00572396
460.5000	0.00571334
460.0000	0.00571265
459.5000	0.00568758
459.0000	0.00569386
458.5000	0.00568987
458.0000	0.00572708
457.5000	0.00575035
457.0000	0.00580059
456.5000	0.00582643
456.0000	0.00583065
455.5000	0.0058335
455.0000	0.00581416
454.5000	0.0057727
454.0000	0.00575567
453.5000	0.00573636
453.0000	0.00571498
452.5000	0.0057133
452.0000	0.00570762
451.5000	0.00569993
451.0000	0.00567375
450.5000	0.00566624
450.0000	0.00567768
449.5000	0.00570957
449.0000	0.00574862
448.5000	0.00577441
448.0000	0.00577459
447.5000	0.00580838
447.0000	0.00582175
446.5000	0.00583361
446.0000	0.00582001
445.5000	0.00580953
445.0000	0.00584029
444.5000	0.00588301
444.0000	0.00592858
443.5000	0.00597074
443.0000	0.00601912
442.5000	0.00602804
442.0000	0.00607709
441.5000	0.00614377
441.0000	0.00620699
440.5000	0.00623906
440.0000	0.00622119
439.5000	0.0062267
439.0000	0.00625006
438.5000	0.00625735
438.0000	0.00626264
437.5000	0.00626248
437.0000	0.00628987
436.5000	0.00634595
436.0000	0.00641908
435.5000	0.00645628
435.0000	0.00644285
434.5000	0.00644063
434.0000	0.00649653
433.5000	0.00652334
433.0000	0.00654962
432.5000	0.0065466
432.0000	0.00655061
431.5000	0.0065604
431.0000	0.00662222
430.5000	0.00665587
430.0000	0.00673054
429.5000	0.00674139
429.0000	0.00682184
428.5000	0.00683034
428.0000	0.0068696
427.5000	0.00685213
427.0000	0.00688
426.5000	0.00685532
426.0000	0.00691051
425.5000	0.00695303
425.0000	0.00701499
424.5000	0.00708186
424.0000	0.00708421
423.5000	0.0071213
423.0000	0.0071017
422.5000	0.00710209
422.0000	0.00710241
421.5000	0.00712572
421.0000	0.00717575
420.5000	0.00724667
420.0000	0.0073181
419.5000	0.00736839
419.0000	0.00739408
418.5000	0.00740442
418.0000	0.00742431
417.5000	0.00749424
417.0000	0.00749967
416.5000	0.0075303
416.0000	0.00757761
415.5000	0.00761884
415.0000	0.00770875
414.5000	0.00774448
414.0000	0.00779748
413.5000	0.00781219
413.0000	0.00789024
412.5000	0.00795658
412.0000	0.00796819
411.5000	0.00800035
411.0000	0.00801169
410.5000	0.00807486
410.0000	0.00814625
409.5000	0.00821261
409.0000	0.00827964
408.5000	0.00827869
408.0000	0.00834254
407.5000	0.00846716
407.0000	0.0085649
406.5000	0.0086012
406.0000	0.00857269
405.5000	0.00853651
405.0000	0.00857137
404.5000	0.00864012
404.0000	0.00869082
403.5000	0.00878546
403.0000	0.00881113
402.5000	0.00890525
402.0000	0.00897436
401.5000	0.00903146
401.0000	0.00903213
400.5000	0.00907158
400.0000	0.00939476
399.5000	0.00942411
399.0000	0.00939488
398.5000	0.00934826
398.0000	0.00939179
397.5000	0.00951066
397.0000	0.00959442
396.5000	0.00960038
396.0000	0.009642
395.5000	0.00972134
395.0000	0.00991101
394.5000	0.0100597
394.0000	0.0102504
393.5000	0.0103337
393.0000	0.0104278
392.5000	0.0104684
392.0000	0.0104406
391.5000	0.0106669
391.0000	0.0107322
390.5000	0.0109227
390.0000	0.0109624
389.5000	0.0110817
389.0000	0.0112456
388.5000	0.0112906
388.0000	0.0113633
387.5000	0.0112981
387.0000	0.0112534
386.5000	0.0112718
386.0000	0.0111907
385.5000	0.0111289
385.0000	0.0110881
384.5000	0.0111097
384.0000	0.0110179
383.5000	0.0109811
383.0000	0.0121038
382.5000	0.0122131
382.0000	0.0121706
381.5000	0.0108805
381.0000	0.0108075
380.5000	0.010716
380.0000	0.0107025
379.5000	0.0107004
379.0000	0.0106895
378.5000	0.0105337
378.0000	0.0105954
377.5000	0.0105681
377.0000	0.0107243
376.5000	0.0106776
376.0000	0.0106471
375.5000	0.0105858
375.0000	0.0105573
374.5000	0.0106086
374.0000	0.0107627
373.5000	0.0108674
373.0000	0.0107718
372.5000	0.0105672
372.0000	0.0104799
371.5000	0.0106404
371.0000	0.0109569
370.5000	0.011032
370.0000	0.0112604
369.5000	0.0112003
369.0000	0.0111465
368.5000	0.0112893
368.0000	0.0115301
367.5000	0.0115752
367.0000	0.0115126
366.5000	0.0115126
366.0000	0.011462
365.5000	0.0115333
365.0000	0.0114172
364.5000	0.0112846
364.0000	0.0111868
363.5000	0.0112793
363.0000	0.0113239
362.5000	0.011277
362.0000	0.0113035
361.5000	0.0113883
361.0000	0.0115034
360.5000	0.0115292
360.0000	0.0118214
359.5000	0.0118488
359.0000	0.0117565
358.5000	0.0116588
358.0000	0.0118098
357.5000	0.0119108
357.0000	0.0119263
356.5000	0.0121022
356.0000	0.0120136
355.5000	0.0119813
355.0000	0.0120937
354.5000	0.0122989
354.0000	0.0123047
353.5000	0.0122573
353.0000	0.0121995
352.5000	0.012421
352.0000	0.0125769
351.5000	0.0126648
351.0000	0.0126925
350.5000	0.0125075
350.0000	0.0126544
349.5000	0.0126914
349.0000	0.0128681
348.5000	0.0128747
348.0000	0.0129613
347.5000	0.0128664
347.0000	0.0129838
346.5000	0.0130423
346.0000	0.0131851
345.5000	0.0132311
345.0000	0.0132155
344.5000	0.0133615
344.0000	0.0135698
343.5000	0.0135444
343.0000	0.013439
342.5000	0.0134202
342.0000	0.0135514
341.5000	0.0133295
341.0000	0.0135628
340.5000	0.0137196
340.0000	0.015211
339.5000	0.0152672
339.0000	0.0149886
338.5000	0.0151033
338.0000	0.0152267
337.5000	0.0156427
337.0000	0.0154449
336.5000	0.015711
336.0000	0.0155774
335.5000	0.01594
335.0000	0.0156944
334.5000	0.0157803
334.0000	0.0157263
333.5000	0.0160936
333.0000	0.0163508
332.5000	0.0162928
332.0000	0.0164237
331.5000	0.0165013
331.0000	0.0166585
330.5000	0.0165383
330.0000	0.0165145
329.5000	0.0165363
329.0000	0.0164565
328.5000	0.0164937
328.0000	0.0167605
327.5000	0.0170377
327.0000	0.0170978
326.5000	0.0172434
326.0000	0.0172946
325.5000	0.0175484
325.0000	0.0176968
324.5000	0.0177587
324.0000	0.0178498
323.5000	0.0181645
323.0000	0.0181459
322.5000	0.0180937
322.0000	0.0179714
321.5000	0.0183061
321.0000	0.0185078
320.5000	0.0190041
320.0000	0.0187911
319.5000	0.0191632
319.0000	0.0191461
318.5000	0.0192221
318.0000	0.0192569
317.5000	0.0191197
317.0000	0.0194776
316.5000	0.0199214
316.0000	0.019988
315.5000	0.0202934
315.0000	0.0204476
314.5000	0.0205623
314.0000	0.0208963
313.5000	0.0206661
313.0000	0.0210223
312.5000	0.0210293
312.0000	0.0215467
311.5000	0.0219857
311.0000	0.0223824
310.5000	0.0226755
310.0000	0.0230529
309.5000	0.0236657
309.0000	0.0245217
308.5000	0.0252411
308.0000	0.0257825
307.5000	0.0261365
307.0000	0.0268891
306.5000	0.0277359
306.0000	0.0289298
305.5000	0.0300565
305.0000	0.0312832
304.5000	0.0326456
304.0000	0.033969
303.5000	0.0355175
303.0000	0.0374452
302.5000	0.0396344
302.0000	0.0418629
301.5000	0.0443853
301.0000	0.0469208
300.5000	0.0498765
300.0000	0.0530775
299.5000	0.0566021
299.0000	0.0605238
298.5000	0.064842
298.0000	0.0698189
297.5000	0.0753529
297.0000	0.0814762
296.5000	0.0882189
296.0000	0.0955416
295.5000	0.104165
295.0000	0.114017
294.5000	0.125254
294.0000	0.138019
293.5000	0.152403
293.0000	0.168722
292.5000	0.186536
292.0000	0.205777
291.5000	0.225695
291.0000	0.246619
290.5000	0.26773
290.0000	0.288797
289.5000	0.310464
289.0000	0.331769
288.5000	0.353855
288.0000	0.375747
287.5000	0.397766
287.0000	0.418623
286.5000	0.438449
286.0000	0.456253
285.5000	0.472195
285.0000	0.485781
284.5000	0.4974
284.0000	0.506978
283.5000	0.51485
283.0000	0.521748
282.5000	0.527713
282.0000	0.533779
281.5000	0.539592
281.0000	0.545789
280.5000	0.551918
280.0000	0.557365
279.5000	0.56182
279.0000	0.564832
278.5000	0.566126
278.0000	0.565671
277.5000	0.56387
277.0000	0.560668
276.5000	0.55641
276.0000	0.550854
275.5000	0.544854
275.0000	0.538375
274.5000	0.531686
274.0000	0.524784
273.5000	0.517912
273.0000	0.5106
272.5000	0.503283
272.0000	0.495941
271.5000	0.489132
271.0000	0.482437
270.5000	0.475905
270.0000	0.469799
269.5000	0.463758
269.0000	0.457046
268.5000	0.449411
268.0000	0.440661
267.5000	0.431934
267.0000	0.423706
266.5000	0.416583
266.0000	0.410735
265.5000	0.405031
265.0000	0.398338
264.5000	0.390028
264.0000	0.379919
263.5000	0.369646
263.0000	0.360146
262.5000	0.352303
262.0000	0.345913
261.5000	0.340462
261.0000	0.336013
260.5000	0.33204
260.0000	0.328903
259.5000	0.325241
259.0000	0.320698
258.5000	0.314571
258.0000	0.306768
257.5000	0.297898
257.0000	0.289435
256.5000	0.282081
256.0000	0.276543
255.5000	0.272332
255.0000	0.269537
254.5000	0.267778
254.0000	0.266765
253.5000	0.266112
253.0000	0.265353
252.5000	0.264131
252.0000	0.262415
251.5000	0.260907
251.0000	0.260107
250.5000	0.260829
250.0000	0.263209

##### Extended Information
[Comment]
Sample Name	BSA_c30_g1over30_8.3mMYCl3
Comment	8.3mMYCl3
User	FZ
Division	TOF
Company	ILL

[Data Information]
Creation Date	28/03/2010 11:26
Data array type	Linear data array
Horizontal	Wavelength [nm]
Vertical	Abs
Start	800 nm
End	250 nm
Data pitch	0.5 nm
Data points	1101    

[Measurement Information]
Instrument Name	UV/Vis
Model Name	V-630
Serial No.	A062261148

Accessory	HMC-711
Accessory S/N	B001961107
  Cell Length	10 mm
  Temperature	25.00 C

Photometric Mode	Abs
Measurement range	800 - 250 nm
Data pitch	0.5 nm
Band width(UV/Vis)	1.5 nm
Response	Fast
Scanning speed	400 nm/min
Source Change	340 nm
Light Source	D2/WI
Filter Exchange	Step
Correction	Baseline

